ID metabolite	FC	log2(FC)	p.ajusted	log p	regulation
Peak507	3.23E-08	-24.884	8.58E-06	5.0665	down
Peak536	3.22E-08	-24.887	6.81E-06	5.1667	down
Peak490	3.13E-08	-24.931	1.51E-05	4.8221	down
Peak427	3.08E-08	-24.952	2.08E-05	4.6812	down
Peak560	3.08E-08	-24.954	6.81E-06	5.1667	down
Peak440	3.07E-08	-24.957	2.08E-05	4.6812	down
Peak567	3.06E-08	-24.964	6.81E-06	5.1667	down
Peak593	3.05E-08	-24.965	1.60E-05	4.7966	down
Peak471	2.99E-08	-24.994	6.81E-06	5.1667	down
Peak891	2.92E-08	-25.032	0.00042778	3.3688	down
Peak374	2.85E-08	-25.064	1.77E-05	4.7521	down
Peak420	2.84E-08	-25.071	2.52E-05	4.5981	down
Peak470	2.81E-08	-25.086	3.06E-05	4.5144	down
Peak508	2.81E-08	-25.087	3.19E-05	4.4962	down
Peak491	2.79E-08	-25.097	8.71E-06	5.0599	down
Peak478	2.77E-08	-25.108	1.02E-05	4.9914	down
Peak585	2.73E-08	-25.125	1.22E-05	4.9154	down
Peak498	2.73E-08	-25.126	6.81E-06	5.1667	down
Peak544	2.69E-08	-25.149	6.81E-06	5.1667	down
Peak449	2.59E-08	-25.201	3.06E-05	4.5144	down
Peak484	2.59E-08	-25.204	6.81E-06	5.1667	down
Peak575	2.46E-08	-25.275	8.28E-06	5.082	down
Peak553	2.34E-08	-25.351	6.81E-06	5.1667	down
Peak566	2.23E-08	-25.421	7.19E-06	5.1432	down
Peak558	2.22E-08	-25.427	6.81E-06	5.1667	down
Peak435	2.22E-08	-25.428	2.61E-05	4.5828	down
Peak388	2.11E-08	-25.499	2.13E-05	4.6725	down
Peak480	2.11E-08	-25.501	7.19E-06	5.1432	down
Peak399	2.05E-08	-25.541	2.08E-05	4.6812	down
Peak489	1.84E-08	-25.699	2.15E-05	4.6682	down
Peak333	1.45E-08	-26.04	8.28E-06	5.082	down
Peak464	1.38E-08	-26.112	8.31E-06	5.0805	down
Peak462	1.22E-08	-26.289	6.81E-06	5.1667	down
Peak479	1.21E-08	-26.295	1.22E-05	4.9154	down
Peak357	1.10E-08	-26.442	1.19E-05	4.9263	down
Peak453	1.01E-08	-26.556	6.81E-06	5.1667	down
Peak376	9.55E-09	-26.642	1.03E-05	4.9863	down
Peak442	9.11E-09	-26.71	7.73E-06	5.1118	down
Peak461	9.09E-09	-26.714	6.81E-06	5.1667	down
Peak430	8.40E-09	-26.827	6.81E-06	5.1667	down
Peak390	7.87E-09	-26.92	7.19E-06	5.1432	down
Peak465	7.72E-09	-26.95	7.19E-06	5.1432	down
Peak410	7.43E-09	-27.004	8.28E-06	5.082	down
Peak401	7.36E-09	-27.019	7.19E-06	5.1432	down
Peak452	5.59E-09	-27.413	6.81E-06	5.1667	down
Peak332	5.10E-09	-27.548	6.81E-06	5.1667	down
Peak441	4.66E-09	-27.678	7.19E-06	5.1432	down
Peak429	4.29E-09	-27.796	6.81E-06	5.1667	down
Peak356	4.25E-09	-27.808	7.19E-06	5.1432	down
Peak375	4.04E-09	-27.883	7.73E-06	5.1118	down
Peak412	3.75E-09	-27.991	7.19E-06	5.1432	down
Peak389	3.48E-09	-28.1	6.81E-06	5.1667	down
Peak400	3.44E-09	-28.115	6.81E-06	5.1667	down
